Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
40.7488,-73.6554,B02598,16,26,4,2014,10,3
40.7169,-73.6019,B02598,16,26,4,2014,13,3
40.6535,-73.5751,B02598,16,26,4,2014,42,3
40.667,-73.5326,B02598,16,26,4,2014,51,3
41.1436,-73.3271,B02598,16,26,4,2014,56,3
40.7424,-73.5757,B02598,18,26,4,2014,6,3
41.1434,-73.2544,B02598,18,26,4,2014,49,3
40.7575,-73.6319,B02598,18,26,4,2014,51,3
41.1279,-73.3647,B02598,19,26,4,2014,6,3
40.7857,-73.6094,B02598,19,26,4,2014,40,3
41.1419,-73.3603,B02598,19,26,4,2014,53,3
41.1676,-73.3398,B02598,20,26,4,2014,32,3
40.6651,-73.6202,B02598,20,26,4,2014,43,3
41.1227,-73.3706,B02598,21,26,4,2014,11,3
40.7666,-73.6167,B02598,21,26,4,2014,21,3
41.1279,-73.3647,B02598,21,26,4,2014,37,3
40.7077,-73.5844,B02598,21,26,4,2014,47,3
40.7989,-73.6639,B02598,22,26,4,2014,7,3
40.7425,-73.4979,B02598,22,26,4,2014,9,3
40.7656,-73.6026,B02598,23,26,4,2014,24,3
40.6358,-73.5823,B02598,23,26,4,2014,31,3
40.6792,-73.5397,B02598,23,26,4,2014,41,3
40.7328,-73.5837,B02598,0,27,4,2014,15,3
40.7766,-73.6318,B02598,0,27,4,2014,17,3
40.7856,-73.6093,B02598,1,27,4,2014,29,3
40.7254,-73.6337,B02598,4,27,4,2014,11,3
40.8162,-73.6432,B02598,4,27,4,2014,31,3
40.7345,-73.629,B02598,5,27,4,2014,31,3
40.729,-73.5207,B02598,12,27,4,2014,55,3
40.8334,-73.5045,B02598,13,27,4,2014,20,3
41.0995,-73.419,B02598,13,27,4,2014,57,3
40.7532,-73.6433,B02598,15,27,4,2014,52,3
40.7957,-73.478,B02598,18,27,4,2014,35,3
40.8502,-73.5589,B02598,19,27,4,2014,19,3
41.2339,-73.0405,B02598,19,27,4,2014,51,3
40.7948,-73.4774,B02598,9,28,4,2014,57,3
40.7416,-73.6085,B02598,12,28,4,2014,21,3
